,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_data_parameters_memory_usage_2,client_data_parameters_memory_usage_0,client_data_parameters_memory_usage_1,client_data_parameters_memory_usage_4,client_data_parameters_memory_usage_3,client_model_parameters_memory_usage_2,client_model_parameters_memory_usage_0,client_model_parameters_memory_usage_1,client_model_parameters_memory_usage_4,client_model_parameters_memory_usage_3,client_training_memory_usage_2,client_training_memory_usage_0,client_training_memory_usage_1,client_training_memory_usage_4,client_training_memory_usage_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
10,9.656,10.456,9.815999999999999,9.927999999999999,9.687999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0967,0.0,4.070387363433838,3.945234775543213,4.046750068664551,4.054340600967407,4.052919387817383,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.0414423942565918,1.0394058227539062,5.194587707519531,0
11,9.912,9.808,10.12,9.616,10.408000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008,0.0,4.601778268814087,4.045359134674072,4.529445648193359,4.436233997344971,4.666249990463257,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04843568801879883,1.0394058227539062,5.194587707519531,0
12,9.648,9.384,9.824,10.016,9.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966,0.0,4.0755774974823,4.061718225479126,4.058423757553101,4.251003980636597,4.452572822570801,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04201078414916992,1.0394058227539062,5.194587707519531,0
13,9.944,10.216,10.072000000000001,9.936,10.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0977,0.0,4.0619285106658936,4.082113981246948,4.050281524658203,4.065382242202759,4.137765884399414,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04176783561706543,1.0394058227539062,5.194587707519531,0
14,10.328,9.92,10.264,9.719999999999999,9.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984,0.0,4.3430495262146,4.621740341186523,4.702165126800537,4.410661458969116,4.410987138748169,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04160451889038086,1.0394058227539062,5.194587707519531,0
15,10.264,9.864,10.144,9.976,10.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972,0.0,4.059353590011597,4.04688286781311,4.090053558349609,4.0191521644592285,4.0232861042022705,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04219675064086914,1.0394058227539062,5.194587707519531,0
16,10.040000000000001,10.296,9.92,9.656,9.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993,0.0,4.083162307739258,4.1576902866363525,4.352743148803711,4.085559844970703,4.126024961471558,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.05064868927001953,1.0394058227539062,5.194587707519531,0
17,9.76,10.208,9.904,9.847999999999999,10.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0983,0.0,4.572185754776001,4.5951924324035645,4.13420295715332,4.095465421676636,4.492197275161743,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04105734825134277,1.0394058227539062,5.194587707519531,0
18,10.208,10.472,10.136000000000001,9.768,9.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982,0.0,4.016261339187622,4.097867488861084,4.084045171737671,4.033840894699097,4.097463130950928,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.041640281677246094,1.0394058227539062,5.194587707519531,0
19,9.719999999999999,10.168000000000001,10.040000000000001,10.176,9.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1002,0.0,4.137716770172119,4.143747091293335,4.026893615722656,4.420318126678467,4.370939016342163,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0389175415039062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,1.0394058227539062,688.14453125,688.14453125,688.14453125,688.14453125,688.14453125,0,0,0,0,0,0,0,0,0,0,0.04570174217224121,1.0394058227539062,5.194587707519531,0
