,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,client_accuracy_0,client_accuracy_1,client_attack_0,client_attack_1,server_attack,server_accuracy,server_auc,client_aauc_0,client_auc_0
84,84,84,84,84,84,84,84,76.8,75.03999999999999,68.29,0,67.68,0.7722,66.16,69.68,69.68
85,85,85,85,85,85,85,85,75.03999999999999,72.8,68.29,0,67.68,0.7719,66.16,69.68,69.68
86,86,86,86,86,86,86,86,76.55999999999999,75.76,68.29,0,67.68,0.7876,66.16,69.68,69.68
87,87,87,87,87,87,87,87,76.32,75.6,68.29,0,67.68,0.7836,66.16,69.68,69.68
88,88,88,88,88,88,88,88,78.0,74.88,68.29,0,67.68,0.7808,66.16,69.68,69.68
89,89,89,89,89,89,89,89,76.64,75.44,68.29,0,67.68,0.7776,66.16,69.68,69.68
90,90,90,90,90,90,90,90,74.0,73.6,68.29,0,67.68,0.7742,66.16,69.68,69.68
91,91,91,91,91,91,91,91,75.6,73.2,68.29,0,67.68,0.7757,66.16,69.68,69.68
92,92,92,92,92,92,92,92,75.44,73.92,68.29,0,67.68,0.776,66.16,69.68,69.68
93,93,93,93,93,93,93,93,73.76,73.68,68.29,0,67.68,0.7724,66.16,69.68,69.68
94,94,94,94,94,94,94,94,74.08,72.88,68.29,0,67.68,0.7702,66.16,69.68,69.68
95,95,95,95,95,95,95,95,75.6,76.08,68.29,0,67.68,0.7886,66.16,69.68,69.68
96,96,96,96,96,96,96,96,74.72,73.52,68.29,0,67.68,0.7739,66.16,69.68,69.68
97,97,97,97,97,97,97,97,75.6,75.84,68.29,0,67.68,0.7785,66.16,69.68,69.68
98,98,98,98,98,98,98,98,74.64,73.6,68.29,0,67.68,0.771,66.16,69.68,69.68
99,99,99,99,99,99,99,99,74.96000000000001,74.88,68.29,0,67.68,0.7784,66.16,69.68,69.68
