,Unnamed: 0,Unnamed: 0.1,client_accuracy_1,client_accuracy_3,client_accuracy_0,client_accuracy_2,client_accuracy_4,client_loss_1,client_loss_3,client_loss_0,client_loss_2,client_loss_4,client_accuracy_per_epoch1,client_accuracy_per_epoch3,client_accuracy_per_epoch0,client_accuracy_per_epoch2,client_accuracy_per_epoch4,client_loss_per_epoch1,client_loss_per_epoch3,client_loss_per_epoch0,client_loss_per_epoch2,client_loss_per_epoch4,client_attack_1,client_attack_3,client_attack_0,client_attack_2,client_attack_4,client_auc_1,client_auc_3,client_auc_0,client_auc_2,client_auc_4,server_attack,server_accuracy,server_auc,client_layer_leakage_1,client_layer_leakage_3,client_layer_leakage_0,client_layer_leakage_2,client_layer_leakage_4,server_layer_leakage,client_round_duration_1,client_round_duration_3,client_round_duration_0,client_round_duration_2,client_round_duration_4,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
10,10,10,64.84156082373549,61.38577608478073,45.10042687828324,56.1091852001968,57.93150969309881,,,,,,"[79.33333333333333, 84.0, 82.0, 82.66666666666667, 64.69333333333334]","[83.33333333333334, 86.66666666666667, 83.33333333333334, 86.66666666666667, 61.413333333333334]","[60.431654676258994, 71.94244604316546, 69.06474820143885, 72.66187050359713, 45.45333333333333]","[88.14814814814815, 93.33333333333333, 94.07407407407408, 91.85185185185185, 56.61333333333334]","[93.22033898305084, 94.91525423728814, 94.91525423728814, 96.61016949152543, 56.92]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,{},{},{},{},{},{},38.2050404548645,7.7213146686553955,34.37696099281311,32.47427487373352,12.438812255859377,0,0,0,0,0,0,0,0,0,0,0.0573265552520751,,,0
11,11,11,66.04156082373548,63.62577608478074,52.27376021161657,47.66918520019679,62.57150969309881,,,,,,"[86.66666666666667, 90.0, 91.33333333333333, 88.0, 65.89333333333333]","[93.33333333333333, 93.33333333333333, 86.66666666666667, 93.33333333333333, 63.65333333333333]","[59.71223021582733, 67.62589928057554, 70.50359712230215, 78.41726618705036, 52.626666666666665]","[94.07407407407408, 94.81481481481482, 94.07407407407408, 95.55555555555556, 48.17333333333333]","[93.22033898305084, 91.52542372881356, 96.61016949152543, 96.61016949152543, 61.56]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833,0.0,{},{},{},{},{},{},38.07923460006714,7.679611682891846,33.95259141921997,32.48004961013794,12.760860443115234,0,0,0,0,0,0,0,0,0,0,0.0594673156738281,,,0
12,12,12,65.45489415706882,62.83910941811407,47.92709354494991,53.25585186686346,59.71817635976547,,,,,,"[89.33333333333333, 90.66666666666666, 90.0, 90.66666666666666, 65.30666666666667]","[76.66666666666667, 90.0, 90.0, 93.33333333333333, 62.866666666666674]","[72.66187050359713, 80.57553956834532, 72.66187050359713, 80.57553956834532, 48.28]","[92.5925925925926, 94.81481481481482, 92.5925925925926, 95.55555555555556, 53.76]","[96.61016949152543, 98.30508474576271, 98.30508474576271, 98.30508474576271, 58.70666666666666]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826,0.0,{},{},{},{},{},{},38.48795366287232,7.862446546554565,34.198851108551025,32.774458169937134,12.427466630935667,0,0,0,0,0,0,0,0,0,0,0.0583753585815429,,,0
13,13,13,66.52156082373548,64.34577608478072,51.47376021161657,54.60251853353013,63.33150969309881,,,,,,"[88.0, 90.0, 89.33333333333333, 95.33333333333334, 66.37333333333333]","[93.33333333333333, 90.0, 100.0, 100.0, 64.37333333333333]","[47.482014388489205, 56.11510791366906, 61.87050359712231, 70.50359712230215, 51.82666666666667]","[95.55555555555556, 99.25925925925925, 97.77777777777777, 95.55555555555556, 55.10666666666667]","[100.0, 100.0, 96.61016949152543, 93.22033898305084, 62.32]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771,0.0,{},{},{},{},{},{},38.44177794456482,7.728366613388061,34.50301218032837,33.338666915893555,12.588974475860596,0,0,0,0,0,0,0,0,0,0,0.0557296276092529,,,0
14,14,14,61.44156082373548,62.38577608478073,47.540426878283235,54.80251853353013,61.01150969309881,,,,,,"[88.0, 86.66666666666667, 90.0, 92.0, 61.29333333333334]","[83.33333333333334, 96.66666666666667, 96.66666666666667, 90.0, 62.413333333333334]","[64.02877697841727, 69.06474820143885, 77.6978417266187, 70.50359712230215, 47.89333333333333]","[97.03703703703704, 88.88888888888889, 97.77777777777777, 97.77777777777777, 55.30666666666667]","[93.22033898305084, 89.83050847457628, 94.91525423728814, 96.61016949152543, 60.0]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822,0.0,{},{},{},{},{},{},38.504610538482666,7.797183275222778,34.18096995353699,33.079766273498535,12.643062829971312,0,0,0,0,0,0,0,0,0,0,0.0492401123046875,,,0
15,15,15,66.21489415706881,62.58577608478074,48.79376021161658,54.64251853353013,60.90484302643214,,,,,,"[92.0, 88.66666666666667, 93.33333333333333, 94.0, 66.06666666666666]","[76.66666666666667, 83.33333333333334, 100.0, 76.66666666666667, 62.61333333333333]","[62.589928057553955, 69.06474820143885, 76.2589928057554, 77.6978417266187, 49.14666666666667]","[94.07407407407408, 95.55555555555556, 93.33333333333333, 97.77777777777777, 55.14666666666667]","[98.30508474576271, 98.30508474576271, 96.61016949152543, 98.30508474576271, 59.89333333333333]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6798,0.0,{},{},{},{},{},{},38.03061509132385,7.727880954742432,33.5622034072876,33.178807973861694,12.436557054519652,0,0,0,0,0,0,0,0,0,0,0.0539703369140625,,,0
16,16,16,65.65489415706882,63.05244275144741,50.233760211616584,56.45585186686346,61.104843026432135,,,,,,"[94.0, 88.0, 95.33333333333334, 95.33333333333334, 65.50666666666667]","[96.66666666666667, 90.0, 96.66666666666667, 96.66666666666667, 63.080000000000005]","[71.94244604316546, 74.82014388489209, 79.85611510791367, 82.01438848920863, 50.586666666666666]","[97.03703703703704, 100.0, 99.25925925925925, 98.51851851851852, 56.96]","[94.91525423728814, 100.0, 98.30508474576271, 96.61016949152543, 60.093333333333334]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6856,0.0,{},{},{},{},{},{},38.2680230140686,7.810712575912476,33.46453881263733,33.042027950286865,12.676270246505736,0,0,0,0,0,0,0,0,0,0,0.0522882938385009,,,0
17,17,17,66.05489415706882,61.892442751447405,48.540426878283235,55.06918520019679,60.264843026432146,,,,,,"[95.33333333333334, 91.33333333333333, 96.0, 97.33333333333334, 65.90666666666667]","[80.0, 93.33333333333333, 86.66666666666667, 96.66666666666667, 61.919999999999995]","[64.74820143884892, 81.29496402877699, 88.48920863309353, 92.80575539568345, 48.89333333333333]","[94.07407407407408, 97.03703703703704, 95.55555555555556, 98.51851851851852, 55.57333333333333]","[98.30508474576271, 98.30508474576271, 98.30508474576271, 98.30508474576271, 59.25333333333334]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822,0.0,{},{},{},{},{},{},38.760685443878174,7.910997629165649,34.121535301208496,32.86838221549988,12.464083433151243,0,0,0,0,0,0,0,0,0,0,0.0581364631652832,,,0
18,18,18,62.894894157068805,63.945776084780725,50.3670935449499,55.2691852001968,60.23817635976548,,,,,,"[93.33333333333333, 96.66666666666667, 97.33333333333334, 96.0, 62.74666666666666]","[93.33333333333333, 100.0, 100.0, 100.0, 63.973333333333336]","[74.10071942446042, 84.89208633093526, 87.05035971223022, 88.48920863309353, 50.72]","[97.03703703703704, 96.29629629629629, 97.03703703703704, 96.29629629629629, 55.77333333333333]","[96.61016949152543, 98.30508474576271, 98.30508474576271, 98.30508474576271, 59.226666666666674]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6852,0.0,{},{},{},{},{},{},38.317498445510864,7.896415710449219,34.32244157791138,32.66418790817261,12.608924388885498,0,0,0,0,0,0,0,0,0,0,0.0618038177490234,,,0
19,19,19,66.49489415706881,64.11910941811406,47.98042687828325,56.28251853353012,61.46484302643214,,,,,,"[94.66666666666667, 96.0, 97.33333333333334, 97.33333333333334, 66.34666666666666]","[86.66666666666667, 100.0, 100.0, 100.0, 64.14666666666666]","[89.92805755395683, 91.36690647482014, 92.08633093525181, 89.92805755395683, 48.333333333333336]","[97.03703703703704, 99.25925925925925, 100.0, 100.0, 56.78666666666666]","[98.30508474576271, 94.91525423728814, 93.22033898305084, 93.22033898305084, 60.45333333333333]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,{},{},{},{},{},{},38.49717211723328,7.813714027404785,34.5970504283905,32.655505418777466,12.384867668151855,0,0,0,0,0,0,0,0,0,0,0.0493342876434326,,,0
