,Unnamed: 0,Unnamed: 0.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
12,12,12,58.10231787846732,57.92266881268876,58.14023991276007,58.44403480246278,60.26723433063167,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.269171476364136,15.205163478851318,15.10347318649292,15.2330482006073,15.259124517440796,0,0,0,0,0,0,0,0,0,0,0.5040812492370605,,,0
13,13,13,60.87565121180066,55.86933547935544,60.580239912760085,46.750701469129446,58.30723433063168,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.287499904632568,15.223161220550535,15.199180841445925,15.02175521850586,15.226972818374634,0,0,0,0,0,0,0,0,0,0,0.4027657508850097,,,0
14,14,14,61.72898454513398,55.402668812688766,59.686906579426754,57.284034802462784,58.86723433063168,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.18925642967224,14.96510362625122,14.990746259689333,14.854619979858398,15.32135534286499,0,0,0,0,0,0,0,0,0,0,0.5065979957580566,,,0
15,15,15,62.19565121180065,57.869335479355435,60.473573246093416,60.33736813579611,58.96056766396502,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.304921865463257,15.141441583633425,15.167107582092283,15.372236013412476,15.11929178237915,0,0,0,0,0,0,0,0,0,0,0.3733818531036377,,,0
16,16,16,61.30231787846732,63.96266881268876,61.11357324609342,59.12403480246277,57.37390099729834,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.076735019683838,15.352816104888916,15.27148413658142,15.157721996307371,15.25657606124878,0,0,0,0,0,0,0,0,0,0,0.3972377777099609,,,0
17,17,17,62.782317878467325,57.722668812688774,59.420239912760074,59.49736813579612,62.040567663965014,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.266661643981934,15.132030963897703,15.195346593856812,15.214683294296265,15.097579956054688,0,0,0,0,0,0,0,0,0,0,0.3990051746368408,,,0
18,18,18,62.99565121180065,61.50933547935543,62.11357324609342,61.07070146912944,60.01390099729836,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.224414587020874,15.254160165786743,15.194978952407835,15.089128017425535,15.12011981010437,0,0,0,0,0,0,0,0,0,0,0.40087890625,,,0
19,19,19,61.40898454513399,61.4960021460221,55.926906579426756,60.310701469129455,63.680567663965014,0.3951610593326711,0.0,0.033327500574073965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.079461097717283,15.243539810180664,15.20258331298828,15.323634147644045,15.15046453475952,0,0,0,0,0,0,0,0,0,0,0.3988015651702881,,,0
20,20,20,60.902317878467315,63.282668812688755,54.76690657942675,59.29736813579612,63.30723433063168,51.39516105933267,50.84427819204609,51.033327500574075,47.73141278620322,52.27521901567595,51.0,51.33333333333333,51.0,48.0,52.33333333333333,50.0,0.2171,50.0,15.228557586669922,15.25417423248291,15.27683424949646,15.185059547424316,15.178168296813965,0,0,0,0,0,0,0,0,0,0,0.4038484096527099,,,0
21,21,21,59.68898454513399,63.18933547935542,62.95357324609343,59.310701469129455,61.88056766396502,45.728494392666,49.84427819204609,48.36666083390741,47.06474611953656,45.60855234900928,45.33333333333333,50.33333333333334,48.33333333333333,47.333333333333336,45.66666666666666,50.0,0.2171,50.0,15.27820324897766,15.234867572784424,15.091107845306396,15.269833326339722,15.201828956604004,0,0,0,0,0,0,0,0,0,0,0.399397611618042,,,0
22,22,22,63.63565121180065,63.26933547935543,63.02023991276009,55.65736813579612,62.25390099729835,52.06182772599934,52.8442781920461,50.033327500574075,50.398079452869894,49.94188568234262,51.66666666666667,53.333333333333336,50.0,50.66666666666666,50.0,50.0,0.2171,50.0,15.175334930419922,15.12662935256958,15.38182806968689,15.455143213272097,15.198251962661743,0,0,0,0,0,0,0,0,0,0,0.2226772308349609,,,0
23,23,23,63.90231787846733,62.402668812688766,61.46023991276008,58.884034802462786,62.85390099729835,52.06182772599934,48.17761152537943,49.69999416724073,46.06474611953655,48.27521901567596,51.66666666666666,48.66666666666666,49.66666666666666,46.33333333333333,48.33333333333334,50.0,0.2171,50.0,15.194269895553589,15.131496667861938,15.218900442123411,15.142655611038208,15.15409517288208,0,0,0,0,0,0,0,0,0,0,0.4036219120025635,,,0
24,24,24,62.68898454513399,65.01600214602209,62.46023991276008,60.777368135796124,63.41390099729835,50.728494392666,51.17761152537943,53.69999416724073,48.06474611953656,50.27521901567595,50.33333333333334,51.66666666666667,53.66666666666666,48.333333333333336,50.33333333333334,50.0,0.2171,50.0,15.219491958618164,15.054748773574827,15.010332107543944,15.219685554504396,15.218865871429443,0,0,0,0,0,0,0,0,0,0,0.4002711772918701,,,0
